plume_id,ok,safe,tile,sensing,out_abs,out_rel,shift_row_px,shift_col_px,missing_bands,idx,reason,ref,row,col,h,w
GAO20191020t185458p0000-D,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t185458p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t185458p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",39,,,,,,
GAO20191020t185458p0000-A,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t185458p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t185458p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",36,,,,,,
GAO20191023t145412p0000-G,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-G/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-G/s2_-7.tif,0.0,0.0,"B09,B10",47,,,,,,
GAO20191023t145412p0000-E,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-E/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-E/s2_-7.tif,0.0,0.0,"B09,B10",45,,,,,,
GAO20191023t145412p0000-D,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",44,,,,,,
GAO20191023t152337p0000-B,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",57,,,,,,
GAO20191023t151100p0000-B,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",51,,,,,,
GAO20191023t151100p0000-E,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-E/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-E/s2_-7.tif,0.0,0.0,"B09,B10",54,,,,,,
GAO20191023t151100p0000-C,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",52,,,,,,
GAO20191023t152337p0000-D,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",59,,,,,,
