plume_id,datetime,lat,lon,matched_safe,matched_sensing_time,matched_jp2
GAO20191019t163802p0000-F,2019-10-19T16:38:02+00:00,31.3209927,-102.12862,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t165807p0000-A,2019-10-19T16:58:07+00:00,31.287733,-101.69601,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t165807p0000-B,2019-10-19T16:58:07+00:00,31.308153,-101.59102,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t165807p0000-C,2019-10-19T16:58:07+00:00,31.305591,-101.36141,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t165807p0000-D,2019-10-19T16:58:07+00:00,31.2890723,-102.22964,S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE/T13RGQ_20191018T173329_B11_20m.jp2
GAO20191019t171300p0000-A,2019-10-19T17:13:00+00:00,31.264258,-102.09244,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t171300p0000-B,2019-10-19T17:13:00+00:00,31.273969,-101.71158,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t171300p0000-C,2019-10-19T17:13:00+00:00,31.2731867,-101.71869,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t173250p0000-A,2019-10-19T17:32:50+00:00,31.260336,-101.69812,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t173250p0000-B,2019-10-19T17:32:50+00:00,31.254235,-101.70634,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
