plume_id,lat,lon,matched_safe,tile,sensing_time,matched_jp2,out_tif,missing_bands
tan20250822t060235c80s4001-I,53.66230150376953,87.92242446308967,S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE,T45UWV,20250823T051711,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE/T45UWV_20250823T051711_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250822t060235c80s4001-I/s2_recut_12x512_georef.tif,"B09,B10"
tan20250822t060235c80s4001-J,53.819868458686926,88.07986907414511,S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE,T45UWV,20250823T051711,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE/T45UWV_20250823T051711_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250822t060235c80s4001-J/s2_recut_12x512_georef.tif,"B09,B10"
tan20250822t060235c80s4001-K,53.80947254815359,88.11840466464565,S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE,T45UWV,20250823T051711,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE/T45UWV_20250823T051711_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250822t060235c80s4001-K/s2_recut_12x512_georef.tif,"B09,B10"
tan20250822t060235c80s4001-L,53.79845693775172,88.12761203952351,S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE,T45UWV,20250823T051711,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE/T45UWV_20250823T051711_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250822t060235c80s4001-L/s2_recut_12x512_georef.tif,"B09,B10"
tan20250822t060235c80s4001-N,53.669462310095184,87.93082987535507,S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE,T45UWV,20250823T051711,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250823T051711_N0511_R062_T45UWV_20250823T083658.SAFE/T45UWV_20250823T051711_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250822t060235c80s4001-N/s2_recut_12x512_georef.tif,"B09,B10"
tan20250822t183450c04s4001-A,32.057688474370096,-103.53319937076182,S2C_MSIL2A_20250822T172921_N0511_R055_T13SFR_20250822T223416.SAFE,T13SFR,20250822T172921,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250822T172921_N0511_R055_T13SFR_20250822T223416.SAFE/T13SFR_20250822T172921_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250822t183450c04s4001-A/s2_recut_12x512_georef.tif,"B09,B10"
tan20250822t183450c04s4001-B,31.75742784448504,-103.5117465289258,S2C_MSIL2A_20250822T172921_N0511_R055_T13SFR_20250822T223416.SAFE,T13SFR,20250822T172921,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250822T172921_N0511_R055_T13SFR_20250822T223416.SAFE/T13SFR_20250822T172921_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250822t183450c04s4001-B/s2_recut_12x512_georef.tif,"B09,B10"
tan20250822t183450c04s4001-C,31.723766213822344,-103.636876401154,S2C_MSIL2A_20250822T172921_N0511_R055_T13SFR_20250822T223416.SAFE,T13SFR,20250822T172921,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250822T172921_N0511_R055_T13SFR_20250822T223416.SAFE/T13SFR_20250822T172921_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250822t183450c04s4001-C/s2_recut_12x512_georef.tif,"B09,B10"
tan20250823t065648c13s4001-A,49.84074287030711,73.09845356998363,S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE,T43UCR,20250823T060629,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE/T43UCR_20250823T060629_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250823t065648c13s4001-A/s2_recut_12x512_georef.tif,"B09,B10"
tan20250823t065648c13s4001-B,49.8502452992106,73.12187661452154,S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE,T43UCR,20250823T060629,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE/T43UCR_20250823T060629_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250823t065648c13s4001-B/s2_recut_12x512_georef.tif,"B09,B10"
