nm/Band,Pan,Coastal (MS7),Blue (MS4),Green (MS3),Yellow (MS6),Red (MS2),Red Edge (MS5),NIR1 (MS1),NIR2 (MS8),SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8,,Inputs:,
448,0.111226284,0.809982609,0.172453315,1.93E-07,5.57E-11,5.93E-07,6.34E-08,3.82E-07,5.74E-08,0,0,0,0,0,0,0,0,,,
449,0.140150548,0.661871028,0.24433088,2.89E-07,7.09E-08,9.88E-07,5.84E-08,3.30E-07,3.03E-07,0,0,0,0,0,0,0,0,,,
450,0.202305875,0.472512087,0.370080146,3.59E-07,3.81E-07,6.27E-07,4.37E-08,4.58E-07,4.34E-07,0,0,0,0,0,0,0,0,,,
451,0.264962362,0.277316301,0.502990777,3.71E-07,7.73E-07,4.78E-07,4.98E-08,5.89E-07,1.26E-06,0,0,0,0,0,0,0,0,,,
452,0.328037823,0.170198351,0.586802551,2.94E-07,4.36E-07,3.84E-07,4.00E-08,5.73E-07,8.38E-07,0,0,0,0,0,0,0,0,,,
453,0.391512447,0.072139397,0.665634752,2.17E-07,6.81E-08,4.48E-07,1.06E-07,5.60E-07,1.35E-06,0,0,0,0,0,0,0,0,,,
454,0.446791742,0.042214137,0.713028457,3.71E-07,3.19E-09,7.60E-07,4.06E-07,5.35E-07,1.82E-06,0,0,0,0,0,0,0,0,,,
455,0.46065366,0.019614002,0.757148606,5.91E-07,5.72E-11,5.42E-07,1.02E-06,5.07E-07,1.47E-06,0,0,0,0,0,0,0,0,,,
456,0.474594357,0.009976239,0.775257611,6.95E-07,2.46E-08,4.90E-07,1.67E-06,4.76E-07,6.23E-07,0,0,0,0,0,0,0,0,,,
457,0.489046284,0.00468064,0.791570313,5.30E-07,4.70E-09,8.65E-07,1.53E-06,5.02E-07,1.66E-06,0,0,0,0,0,0,0,0,,,
458,0.503545894,0.002779749,0.800672013,3.74E-07,3.28E-08,7.95E-07,8.81E-07,5.25E-07,1.37E-06,0,0,0,0,0,0,0,0,,,
459,0.516202917,0.001634436,0.808258673,3.20E-07,1.37E-08,4.09E-07,4.20E-07,5.35E-07,6.59E-07,0,0,0,0,0,0,0,0,,,
460,0.522864669,0.00106939,0.812491912,3.85E-07,8.07E-09,2.31E-07,5.72E-07,5.79E-07,9.49E-08,0,0,0,0,0,0,0,0,,,
461,0.529788515,0.000651882,0.81680746,4.18E-07,6.50E-10,5.97E-07,1.58E-06,5.81E-07,1.12E-06,0,0,0,0,0,0,0,0,,,
462,0.536687822,0.000412528,0.822787896,3.73E-07,5.91E-11,1.21E-06,2.86E-06,5.22E-07,2.44E-06,0,0,0,0,0,0,0,0,,,
463,0.543680037,0.000265069,0.829027258,2.74E-07,5.95E-11,7.58E-07,3.03E-06,4.95E-07,1.62E-06,0,0,0,0,0,0,0,0,,,
464,0.549248118,0.000178485,0.831394924,2.23E-07,5.99E-11,9.19E-07,2.22E-06,5.50E-07,2.84E-06,0,0,0,0,0,0,0,0,,,
465,0.548303885,9.48E-05,0.832723783,2.19E-07,6.02E-11,8.60E-07,1.25E-06,7.53E-07,3.03E-06,0,0,0,0,0,0,0,0,,,
466,0.547289923,8.02E-05,0.829980687,2.63E-07,6.05E-11,7.80E-07,5.80E-07,2.83E-06,2.79E-06,0,0,0,0,0,0,0,0,,,
467,0.54668643,5.95E-05,0.827566244,4.25E-07,6.08E-11,1.08E-06,2.67E-07,9.94E-06,1.72E-06,0,0,0,0,0,0,0,0,,,
468,0.546071936,3.81E-05,0.834555848,5.75E-07,6.10E-11,5.44E-07,2.21E-07,1.57E-05,1.80E-06,0,0,0,0,0,0,0,0,,,
469,0.546248026,2.46E-05,0.842300496,5.54E-07,3.48E-08,6.20E-07,3.78E-07,1.38E-05,2.66E-06,0,0,0,0,0,0,0,0,,,
470,0.549066102,1.58E-05,0.846448785,4.61E-07,1.90E-09,5.87E-07,6.05E-07,6.43E-06,2.94E-06,0,0,0,0,0,0,0,0,,,
471,0.552013825,1.10E-05,0.850576067,3.75E-07,5.62E-11,4.79E-07,5.28E-07,1.95E-06,1.15E-06,0,0,0,0,0,0,0,0,,,
472,0.554971552,9.13E-06,0.856746309,3.36E-07,5.62E-11,4.38E-07,2.40E-07,7.80E-07,1.47E-06,0,0,0,0,0,0,0,0,,,
473,0.557573942,7.01E-06,0.862492671,4.52E-07,5.63E-11,8.84E-07,8.06E-08,5.89E-07,8.21E-07,0,0,0,0,0,0,0,0,,,
474,0.55931992,5.77E-06,0.872159815,5.72E-07,6.13E-11,1.32E-06,2.32E-08,6.95E-07,5.99E-07,0,0,0,0,0,0,0,0,,,
475,0.55835352,4.14E-06,0.882356758,6.92E-07,6.16E-11,1.08E-06,8.76E-09,6.61E-07,2.67E-08,0,0,0,0,0,0,0,0,,,
476,0.557435553,3.85E-06,0.882604029,5.40E-07,6.19E-11,1.46E-06,4.04E-10,6.69E-07,8.61E-08,0,0,0,0,0,0,0,0,,,
477,0.556808043,3.21E-06,0.882846428,4.14E-07,6.23E-11,1.82E-06,1.57E-08,7.32E-07,3.77E-09,0,0,0,0,0,0,0,0,,,
478,0.556226841,2.42E-06,0.889153537,3.59E-07,1.64E-09,1.50E-06,6.79E-10,7.46E-07,1.50E-08,0,0,0,0,0,0,0,0,,,
479,0.555607626,2.13E-06,0.894087695,2.98E-07,5.41E-09,1.47E-06,1.45E-09,8.61E-07,2.05E-07,0,0,0,0,0,0,0,0,,,
480,0.558024036,1.48E-06,0.900280939,3.13E-07,2.50E-10,6.14E-07,1.64E-09,1.26E-06,9.42E-07,0,0,0,0,0,0,0,0,,,
481,0.561420364,1.20E-06,0.908116517,3.93E-07,6.32E-11,5.99E-07,4.62E-09,2.32E-06,1.67E-06,0,0,0,0,0,0,0,0,,,
482,0.564768408,8.13E-07,0.905312438,5.23E-07,4.87E-08,7.14E-07,1.43E-09,7.85E-06,9.30E-07,0,0,0,0,0,0,0,0,,,
483,0.5677592,7.24E-07,0.901545558,6.37E-07,2.69E-09,1.15E-06,1.22E-08,2.24E-05,1.85E-06,0,0,0,0,0,0,0,0,,,
484,0.569624658,4.83E-07,0.902680179,6.84E-07,9.61E-11,3.80E-07,6.83E-09,3.48E-05,7.73E-07,0,0,0,0,0,0,0,0,,,
485,0.568423204,4.75E-07,0.904241533,6.00E-07,1.58E-08,3.00E-07,3.72E-08,2.35E-05,1.03E-07,0,0,0,0,0,0,0,0,,,
486,0.567146234,4.99E-07,0.910918563,5.68E-07,3.95E-10,7.78E-07,1.71E-08,7.67E-06,4.49E-08,0,0,0,0,0,0,0,0,,,
