plume_id,plume_dt,s2_dt,l8_dt,scene_id,s2_path,l8_path,max_diff_seconds
av320240416t211002-A,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-A/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-A/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-B,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-B/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-B/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-B,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-B/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-B/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-C,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-C/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-C/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-C,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-C/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-C/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-D,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-D/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-D/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-D,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-D/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-D/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-E,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-E/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-E/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-E,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-E/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-E/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-F,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-F/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-F/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211002-F,2024-04-16T21:10:02+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211002-F/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211002-F/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76759
av320240416t211535-A,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-A/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-A/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-A,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-A/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-A/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-B,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-B/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-B/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-B,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-B/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-B/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-C,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-C/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-C/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-C,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-C/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-C/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-D,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-D/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-D/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-D,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-D/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-D/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-E,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-E/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-E/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-E,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-E/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-E/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-H,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-H/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-H/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-H,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-H/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-H/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-I,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-I/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-I/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-I,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-I/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-I/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-J,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-J/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-J/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
av320240416t211535-J,2024-04-16T21:15:35+00:00,2024-04-17T18:29:21.024000+00:00,2024-04-17T18:28:10.039483+00:00,LC09_L2SP_041036_20240417_20240418_02_T1,../carbonmapper_data_s2_l2a/av320240416t211535-J/s2_20240417T182921Z.tif,../carbonmapper_data_l89_l2sp/av320240416t211535-J/l8_LC09_L2SP_041036_20240417_20240418_02_T1.tif,76426
