,emit_granule_id
281,EMIT_L2A_RFL_001_20230824T175349_2323612_024
282,EMIT_L2A_RFL_001_20230824T175349_2323612_024
283,EMIT_L2A_RFL_001_20230824T175349_2323612_024
284,EMIT_L2A_RFL_001_20230824T175349_2323612_024
285,EMIT_L2A_RFL_001_20230824T175349_2323612_024
286,EMIT_L2A_RFL_001_20230824T175349_2323612_024
287,EMIT_L2A_RFL_001_20230824T175349_2323612_024
288,EMIT_L2A_RFL_001_20230824T175349_2323612_024
289,EMIT_L2A_RFL_001_20230824T175349_2323612_024
290,EMIT_L2A_RFL_001_20230824T175349_2323612_024
291,EMIT_L2A_RFL_001_20230824T175349_2323612_024
292,EMIT_L2A_RFL_001_20230824T175349_2323612_024
293,EMIT_L2A_RFL_001_20230824T175349_2323612_024
294,EMIT_L2A_RFL_001_20230824T175349_2323612_024
295,EMIT_L2A_RFL_001_20230824T175349_2323612_024
296,EMIT_L2A_RFL_001_20230824T175349_2323612_024
297,EMIT_L2A_RFL_001_20230824T175349_2323612_024
298,EMIT_L2A_RFL_001_20230824T175349_2323612_024
299,EMIT_L2A_RFL_001_20230824T175349_2323612_024
300,EMIT_L2A_RFL_001_20230824T175349_2323612_024
301,EMIT_L2A_RFL_001_20230824T175349_2323612_024
302,EMIT_L2A_RFL_001_20230824T175349_2323612_024
303,EMIT_L2A_RFL_001_20230824T175349_2323612_024
304,EMIT_L2A_RFL_001_20230824T175349_2323612_024
305,EMIT_L2A_RFL_001_20230824T175349_2323612_024
306,EMIT_L2A_RFL_001_20230824T175349_2323612_024
307,EMIT_L2A_RFL_001_20230824T175349_2323612_024
308,EMIT_L2A_RFL_001_20230824T175349_2323612_024
309,EMIT_L2A_RFL_001_20230824T175349_2323612_024
310,EMIT_L2A_RFL_001_20230824T175349_2323612_024
311,EMIT_L2A_RFL_001_20230824T175349_2323612_024
312,EMIT_L2A_RFL_001_20230824T175349_2323612_024
313,EMIT_L2A_RFL_001_20230824T175349_2323612_024
314,EMIT_L2A_RFL_001_20230824T175349_2323612_024
315,EMIT_L2A_RFL_001_20230824T175349_2323612_024
316,EMIT_L2A_RFL_001_20230824T175349_2323612_024
317,EMIT_L2A_RFL_001_20230824T175349_2323612_024
318,EMIT_L2A_RFL_001_20230824T175349_2323612_024
319,EMIT_L2A_RFL_001_20230824T175349_2323612_024
320,EMIT_L2A_RFL_001_20230824T175337_2323612_023
321,EMIT_L2A_RFL_001_20230824T175337_2323612_023
322,EMIT_L2A_RFL_001_20230824T175337_2323612_023
323,EMIT_L2A_RFL_001_20230824T175337_2323612_023
324,EMIT_L2A_RFL_001_20230824T175337_2323612_023
325,EMIT_L2A_RFL_001_20230824T175349_2323612_024
326,EMIT_L2A_RFL_001_20230824T175349_2323612_024
327,EMIT_L2A_RFL_001_20230824T175349_2323612_024
328,EMIT_L2A_RFL_001_20230824T175349_2323612_024
329,EMIT_L2A_RFL_001_20230824T175349_2323612_024
330,EMIT_L2A_RFL_001_20230824T175349_2323612_024
331,EMIT_L2A_RFL_001_20230824T175349_2323612_024
332,EMIT_L2A_RFL_001_20230824T175349_2323612_024
333,EMIT_L2A_RFL_001_20230824T175349_2323612_024
334,EMIT_L2A_RFL_001_20230824T175337_2323612_023
335,EMIT_L2A_RFL_001_20230824T175337_2323612_023
336,EMIT_L2A_RFL_001_20230824T175337_2323612_023
337,EMIT_L2A_RFL_001_20230824T175337_2323612_023
338,EMIT_L2A_RFL_001_20230824T175337_2323612_023
339,EMIT_L2A_RFL_001_20230824T175337_2323612_023
340,EMIT_L2A_RFL_001_20230824T175337_2323612_023
341,EMIT_L2A_RFL_001_20230824T175337_2323612_023
342,EMIT_L2A_RFL_001_20230824T175337_2323612_023
343,EMIT_L2A_RFL_001_20230824T175349_2323612_024
344,EMIT_L2A_RFL_001_20230824T175349_2323612_024
345,EMIT_L2A_RFL_001_20230824T175349_2323612_024
346,EMIT_L2A_RFL_001_20230824T175349_2323612_024
347,EMIT_L2A_RFL_001_20230824T175349_2323612_024
348,EMIT_L2A_RFL_001_20230824T175349_2323612_024
349,EMIT_L2A_RFL_001_20230824T175349_2323612_024
350,EMIT_L2A_RFL_001_20230824T175349_2323612_024
351,EMIT_L2A_RFL_001_20230824T175349_2323612_024
352,EMIT_L2A_RFL_001_20230824T175337_2323612_023
353,EMIT_L2A_RFL_001_20230824T175349_2323612_024
354,EMIT_L2A_RFL_001_20230824T175349_2323612_024
355,EMIT_L2A_RFL_001_20230824T175349_2323612_024
356,EMIT_L2A_RFL_001_20230824T175349_2323612_024
357,EMIT_L2A_RFL_001_20230824T175349_2323612_024
358,EMIT_L2A_RFL_001_20230824T175349_2323612_024
359,EMIT_L2A_RFL_001_20230824T175337_2323612_023
360,EMIT_L2A_RFL_001_20230824T175337_2323612_023
361,EMIT_L2A_RFL_001_20230824T175337_2323612_023
362,EMIT_L2A_RFL_001_20230824T175337_2323612_023
363,EMIT_L2A_RFL_001_20230824T175337_2323612_023
364,EMIT_L2A_RFL_001_20230824T175349_2323612_024
365,EMIT_L2A_RFL_001_20230824T175349_2323612_024
366,EMIT_L2A_RFL_001_20230824T175349_2323612_024
367,EMIT_L2A_RFL_001_20230824T175349_2323612_024
368,EMIT_L2A_RFL_001_20230824T175337_2323612_023
374,EMIT_L2A_RFL_001_20241004T165227_2427811_011
375,EMIT_L2A_RFL_001_20241004T165227_2427811_011
376,EMIT_L2A_RFL_001_20241004T165227_2427811_011
377,EMIT_L2A_RFL_001_20241004T165227_2427811_011
378,EMIT_L2A_RFL_001_20241004T165227_2427811_011
379,EMIT_L2A_RFL_001_20241004T165227_2427811_011
380,EMIT_L2A_RFL_001_20241004T165227_2427811_011
381,EMIT_L2A_RFL_001_20241004T165227_2427811_011
382,EMIT_L2A_RFL_001_20241004T165227_2427811_011
383,EMIT_L2A_RFL_001_20241004T165227_2427811_011
384,EMIT_L2A_RFL_001_20241004T165227_2427811_011
385,EMIT_L2A_RFL_001_20241004T165215_2427811_010
386,EMIT_L2A_RFL_001_20241004T165215_2427811_010
390,EMIT_L2A_RFL_001_20220810T064957_2222205_033
391,EMIT_L2A_RFL_001_20220810T065009_2222205_034
399,EMIT_L2A_RFL_001_20220814T051412_2222604_005
401,EMIT_L2A_RFL_001_20220814T132203_2222609_003
427,EMIT_L2A_RFL_001_20220816T114703_2222808_014
433,EMIT_L2A_RFL_001_20220817T123245_2222908_004
434,EMIT_L2A_RFL_001_20220817T140501_2222909_010
438,EMIT_L2A_RFL_001_20220818T114440_2223008_004
443,EMIT_L2A_RFL_001_20220820T101013_2223207_017
449,EMIT_L2A_RFL_001_20220822T100653_2223407_004
461,EMIT_L2A_RFL_001_20220826T082915_2223806_003
462,EMIT_L2A_RFL_001_20220826T174642_2223812_024
463,EMIT_L2A_RFL_001_20220826T174654_2223812_025
464,EMIT_L2A_RFL_001_20220826T174654_2223812_025
465,EMIT_L2A_RFL_001_20220826T174706_2223812_026
496,EMIT_L2A_RFL_001_20220828T065550_2224005_015
507,EMIT_L2A_RFL_001_20220830T065232_2224205_004
508,EMIT_L2A_RFL_001_20220830T065244_2224205_005
509,EMIT_L2A_RFL_001_20220830T082542_2224206_004
550,EMIT_L2A_RFL_001_20230126T111206_2302608_037
559,EMIT_L2A_RFL_001_20230129T193849_2302913_015
572,EMIT_L2A_RFL_001_20230131T115231_2303108_040
573,EMIT_L2A_RFL_001_20230131T115231_2303108_040
574,EMIT_L2A_RFL_001_20230131T115231_2303108_040
575,EMIT_L2A_RFL_001_20230131T115231_2303108_040
576,EMIT_L2A_RFL_001_20230131T115231_2303108_040
577,EMIT_L2A_RFL_001_20230131T115231_2303108_040
578,EMIT_L2A_RFL_001_20230131T115231_2303108_040
579,EMIT_L2A_RFL_001_20230131T115231_2303108_040
580,EMIT_L2A_RFL_001_20230131T115231_2303108_040
581,EMIT_L2A_RFL_001_20230131T115231_2303108_040
582,EMIT_L2A_RFL_001_20230131T115231_2303108_040
597,EMIT_L2A_RFL_001_20230203T171434_2303412_006
610,EMIT_L2A_RFL_001_20230204T084203_2303506_030
611,EMIT_L2A_RFL_001_20230204T084203_2303506_030
612,EMIT_L2A_RFL_001_20230204T084203_2303506_030
613,EMIT_L2A_RFL_001_20230204T180004_2303512_001
614,EMIT_L2A_RFL_001_20230204T180004_2303512_001
618,EMIT_L2A_RFL_001_20230205T171244_2303612_006
619,EMIT_L2A_RFL_001_20230205T171244_2303612_006
620,EMIT_L2A_RFL_001_20230205T171244_2303612_006
621,EMIT_L2A_RFL_001_20230205T171244_2303612_006
622,EMIT_L2A_RFL_001_20230205T171255_2303612_007
623,EMIT_L2A_RFL_001_20230205T171255_2303612_007
624,EMIT_L2A_RFL_001_20230205T171255_2303612_007
625,EMIT_L2A_RFL_001_20230205T171255_2303612_007
626,EMIT_L2A_RFL_001_20230205T171255_2303612_007
627,EMIT_L2A_RFL_001_20230205T171255_2303612_007
628,EMIT_L2A_RFL_001_20230205T171255_2303612_007
629,EMIT_L2A_RFL_001_20230205T171255_2303612_007
630,EMIT_L2A_RFL_001_20230205T171255_2303612_007
631,EMIT_L2A_RFL_001_20230205T171255_2303612_007
632,EMIT_L2A_RFL_001_20230205T171255_2303612_007
636,EMIT_L2A_RFL_001_20230206T162538_2303711_006
656,EMIT_L2A_RFL_001_20230215T203405_2304613_013
658,EMIT_L2A_RFL_001_20230216T133626_2304709_013
659,EMIT_L2A_RFL_001_20230216T133626_2304709_013
660,EMIT_L2A_RFL_001_20230216T133626_2304709_013
661,EMIT_L2A_RFL_001_20230216T133626_2304709_013
666,EMIT_L2A_RFL_001_20230217T111551_2304807_011
667,EMIT_L2A_RFL_001_20230217T111603_2304807_012
668,EMIT_L2A_RFL_001_20230217T124812_2304808_008
669,EMIT_L2A_RFL_001_20230217T203321_2304813_026
674,EMIT_L2A_RFL_001_20230218T102711_2304907_006
689,EMIT_L2A_RFL_001_20230219T094118_2305006_018
690,EMIT_L2A_RFL_001_20230219T094118_2305006_018
691,EMIT_L2A_RFL_001_20230219T094130_2305006_019
692,EMIT_L2A_RFL_001_20230219T094130_2305006_019
693,EMIT_L2A_RFL_001_20230219T094130_2305006_019
694,EMIT_L2A_RFL_001_20230219T094130_2305006_019
696,EMIT_L2A_RFL_001_20230219T185842_2305012_016
704,EMIT_L2A_RFL_001_20230220T194324_2305113_021
708,EMIT_L2A_RFL_001_20230221T093954_2305206_016
711,EMIT_L2A_RFL_001_20230222T115823_2305308_016
728,EMIT_L2A_RFL_001_20230223T111145_2305407_010
742,EMIT_L2A_RFL_001_20230224T181000_2305512_020
754,EMIT_L2A_RFL_001_20230225T080531_2305605_007
755,EMIT_L2A_RFL_001_20230225T080543_2305605_008
756,EMIT_L2A_RFL_001_20230225T172314_2305611_019
761,EMIT_L2A_RFL_001_20230227T045909_2305803_011
764,EMIT_L2A_RFL_001_20230227T063145_2305804_009
765,EMIT_L2A_RFL_001_20230227T063221_2305804_012
766,EMIT_L2A_RFL_001_20230227T063232_2305804_013
767,EMIT_L2A_RFL_001_20230227T063244_2305804_014
768,EMIT_L2A_RFL_001_20230227T063244_2305804_014
769,EMIT_L2A_RFL_001_20230227T063244_2305804_014
770,EMIT_L2A_RFL_001_20230227T063244_2305804_014
773,EMIT_L2A_RFL_001_20230227T172215_2305811_009
774,EMIT_L2A_RFL_001_20230227T172227_2305811_010
776,EMIT_L2A_RFL_001_20230228T163504_2305911_003
777,EMIT_L2A_RFL_001_20230228T163504_2305911_003
790,EMIT_L2A_RFL_001_20230301T063117_2306004_002
802,EMIT_L2A_RFL_001_20230325T120958_2308408_036
