plume_id,datetime,plume_latitude,plume_longitude,l89_path
emi20230204t040649p03007-A,2023-02-04 04:06:49+00:00,38.9499458715359,111.09383231762428,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230204t040649p03007-A_l89_sr_LANDSAT_9_20230205T031908Z.tif
emi20230204t040649p03007-D,2023-02-04 04:06:49+00:00,39.05009880326924,111.06243019528053,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230204t040649p03007-D_l89_sr_LANDSAT_9_20230205T031908Z.tif
emi20230204t041009p03016-A,2023-02-04 04:10:09+00:00,46.09690511651121,125.2473933717938,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230204t041009p03016-A_l89_sr_LANDSAT_8_20230205T022734Z.tif
emi20230205t171406p12013-A,2023-02-05 17:14:06+00:00,35.75831808023095,-100.13869117552392,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230205t171406p12013-A_l89_sr_LANDSAT_8_20230205T172019Z.tif
emi20230206t053232p04015-A,2023-02-06 05:32:32+00:00,23.60150985955302,57.88710364396886,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230206t053232p04015-A_l89_sr_LANDSAT_8_20230206T063458Z.tif
emi20230214t103457p07034-B,2023-02-14 10:34:57+00:00,25.902411538409098,71.57347931042517,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230214t103457p07034-B_l89_sr_LANDSAT_9_20230215T053838Z.tif
emi20230215t094642p06018-C,2023-02-15 09:46:42+00:00,28.318829386144657,74.95076270183233,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230215t094642p06018-C_l89_sr_LANDSAT_8_20230216T053127Z.tif
emi20230216t212501p14027-A,2023-02-16 21:25:01+00:00,19.50229644233201,-99.3143580116175,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230216t212501p14027-A_l89_sr_LANDSAT_9_20230217T170025Z.tif
emi20230221t045604p03014-A,2023-02-21 04:56:04+00:00,44.04153712163071,87.86342296148126,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230221t045604p03014-A_l89_sr_LANDSAT_9_20230221T045615Z.tif
emi20230221t093954p06016-A,2023-02-21 09:39:54+00:00,31.9283233685653,36.18811187340805,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230221t093954p06016-A_l89_sr_LANDSAT_8_20230222T081113Z.tif
