plume_id,error
GAO20230820t195642p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t195642p0000-F/plume.tif
GAO20230821t155858p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-H/plume.tif
GAO20230821t155858p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-I/plume.tif
GAO20230821t155858p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-J/plume.tif
GAO20230821t155858p0000-L,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-L/plume.tif
GAO20230821t155858p0000-M,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-M/plume.tif
GAO20230821t155858p0000-N,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-N/plume.tif
GAO20230821t155858p0000-O,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-O/plume.tif
GAO20230821t155858p0000-P,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-P/plume.tif
GAO20230821t155858p0000-Q,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t155858p0000-Q/plume.tif
GAO20230821t161748p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-J/plume.tif
GAO20230821t161748p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-K/plume.tif
GAO20230821t161748p0000-L,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-L/plume.tif
GAO20230821t161748p0000-N,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-N/plume.tif
GAO20230821t161748p0000-P,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-P/plume.tif
GAO20230821t161748p0000-R,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-R/plume.tif
GAO20230821t161748p0000-T,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-T/plume.tif
GAO20230821t161748p0000-W,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-W/plume.tif
GAO20230821t161748p0000-X,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t161748p0000-X/plume.tif
GAO20230821t163453p0000-BZ,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-BZ/plume.tif
GAO20230821t163453p0000-CA,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-CA/plume.tif
GAO20230821t163453p0000-CE,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-CE/plume.tif
GAO20230821t163453p0000-N,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-N/plume.tif
GAO20230821t163453p0000-O,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-O/plume.tif
GAO20230821t163453p0000-Q,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-Q/plume.tif
GAO20230821t163453p0000-R,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-R/plume.tif
GAO20230821t163453p0000-T,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-T/plume.tif
GAO20230821t163453p0000-U,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-U/plume.tif
