wavelength,b1,b2,b3,b4,b5,b6,b7
603.00000098289,0.0,0.0,0.000211,0.0,0.0,0.0,0.0
603.9999996617601,0.0,0.0,0.00016,0.0,0.0,0.0,0.0
605.000000726,0.0,0.0,0.000127,0.0,0.0,0.0,0.0
605.99999871528,0.0,0.0,0.000108,0.0,0.0,0.0,0.0
606.99999925946,0.0,0.0,9.8e-05,0.0,0.0,0.0,0.0
608.0000007782401,0.0,0.0,9.5e-05,0.0,0.0,0.0,0.0
609.0000017782801,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
610.0000008540001,0.0,0.0,0.000113,0.0,0.0,0.0,0.0
625.0,0.0,0.0,0.0,0.000522,0.0,0.0,0.0
625.99999978716,0.0,0.0,0.0,0.000803,0.0,0.0,0.0
627.00000068343,0.0,0.0,0.0,0.001276,0.0,0.0,0.0
627.99999917104,0.0,0.0,0.0,0.00211,0.0,0.0,0.0
628.9999996980799,0.0,0.0,0.0,0.003703,0.0,0.0,0.0
629.999998929,0.0,0.0,0.0,0.008137,0.0,0.0,0.0
631.00000154595,0.0,0.0,0.0,0.014483,0.0,0.0,0.0
632.00000040448,0.0,0.0,0.0,0.027305,0.0,0.0,0.0
633.00000038613,0.0,0.0,0.0,0.061504,0.0,0.0,0.0
633.9999984910801,0.0,0.0,0.0,0.129605,0.0,0.0,0.0
634.9999998412501,0.0,0.0,0.0,0.275992,0.0,0.0,0.0
636.00000162816,0.0,0.0,0.0,0.508335,0.0,0.0,0.0
637.00000110201,0.0,0.0,0.0,0.778234,0.0,0.0,0.0
637.99999964272,0.0,0.0,0.0,0.932297,0.0,0.0,0.0
638.99999874117,0.0,0.0,0.0,0.966309,0.0,0.0,0.0
640.0,0.0,0.0,0.0,0.98264,0.0,0.0,0.0
641.0000010256,0.0,0.0,0.0,0.986106,0.0,0.0,0.0
641.9999994863999,0.0,0.0,0.0,0.986163,0.0,0.0,0.0
643.00000138245,0.0,0.0,0.0,0.981306,0.0,0.0,0.0
644.00000043792,0.0,0.0,0.0,0.973655,0.0,0.0,0.0
644.99999871,0.0,0.0,0.0,0.969173,0.0,0.0,0.0
645.99999837208,0.0,0.0,0.0,0.971314,0.0,0.0,0.0
647.00000171455,0.0,0.0,0.0,0.980798,0.0,0.0,0.0
647.99999854848,0.0,0.0,0.0,0.992719,0.0,0.0,0.0
648.99999970795,0.0,0.0,0.0,1.0,0.0,0.0,0.0
649.9999993499999,0.0,0.0,0.0,0.996867,0.0,0.0,0.0
651.00000012369,0.0,0.0,0.0,0.98542,0.0,0.0,0.0
652.00000054768,0.0,0.0,0.0,0.970993,0.0,0.0,0.0
652.99999920987,0.0,0.0,0.0,0.961065,0.0,0.0,0.0
653.99999904516,0.0,0.0,0.0,0.960651,0.0,0.0,0.0
654.999998821,0.0,0.0,0.0,0.968687,0.0,0.0,0.0
656.0000016793599,0.0,0.0,0.0,0.980702,0.0,0.0,0.0
656.99999793702,0.0,0.0,0.0,0.985512,0.0,0.0,0.0
657.99999952624,0.0,0.0,0.0,0.988939,0.0,0.0,0.0
